2022-01-19 15:14:28,588 DEBUG     decorators Function <process_request> called from function <process_requests> (line 336) with arguments (<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>, {'action': 'presence', 'time': 1642594468.5878522, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>])
2022-01-19 15:14:28,588 DEBUG     decorators Function <presence> called from function <process_request> (line 354) with arguments (<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>, {'action': 'presence', 'time': 1642594468.5878522, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:14:28,599 INFO      messenger User John logged in
2022-01-19 15:14:28,599 DEBUG     decorators Function <response> called from function <presence> (line 371) with arguments (<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>, 200)
2022-01-19 15:14:28,600 INFO      decorators 200: 
2022-01-19 15:14:29,607 DEBUG     decorators Function <process_request> called from function <process_requests> (line 336) with arguments (<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>, {'action': 'get_users', 'time': 1642594468.6007879, 'account_name': 'John'}, [<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>])
2022-01-19 15:14:29,607 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 356) with arguments (<socket.socket fd=1332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56673)>, 400, 'Invalid action')
2022-01-19 15:14:29,613 ERROR     decorators 400: Invalid action
2022-01-19 15:18:00,014 DEBUG     server Application is started
2022-01-19 15:18:00,037 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:18:04,300 DEBUG     decorators Function <process_request> called from function <process_requests> (line 338) with arguments (<socket.socket fd=1196, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56665)>, {'action': 'presence', 'time': 1642594683.2966866, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1196, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56665)>])
2022-01-19 15:18:04,300 DEBUG     decorators Function <presence> called from function <process_request> (line 356) with arguments (<socket.socket fd=1196, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56665)>, {'action': 'presence', 'time': 1642594683.2966866, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:18:04,314 INFO      messenger User John logged in
2022-01-19 15:18:04,314 DEBUG     decorators Function <response> called from function <presence> (line 373) with arguments (<socket.socket fd=1196, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56665)>, 200)
2022-01-19 15:18:04,314 INFO      decorators 200: 
2022-01-19 15:18:11,188 DEBUG     decorators Function <process_request> called from function <process_requests> (line 338) with arguments (<socket.socket fd=1352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56671)>, {'action': 'presence', 'time': 1642594690.1791239, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56671)>])
2022-01-19 15:18:11,188 DEBUG     decorators Function <presence> called from function <process_request> (line 356) with arguments (<socket.socket fd=1352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56671)>, {'action': 'presence', 'time': 1642594690.1791239, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:18:11,188 DEBUG     decorators Function <response_and_close> called from function <presence> (line 365) with arguments (<socket.socket fd=1352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 56671)>, 403, 'User already online')
2022-01-19 15:18:11,188 ERROR     decorators 403: User already online
2022-01-19 15:19:50,887 DEBUG     server Application is started
2022-01-19 15:19:50,911 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:19:55,985 DEBUG     decorators Function <process_request> called from function <process_requests> (line 339) with arguments (<socket.socket fd=1324, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50996)>, {'action': 'presence', 'time': 1642594794.9740798, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1324, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50996)>])
2022-01-19 15:19:55,985 DEBUG     decorators Function <presence> called from function <process_request> (line 357) with arguments (<socket.socket fd=1324, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50996)>, {'action': 'presence', 'time': 1642594794.9740798, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:19:55,998 INFO      messenger User John logged in
